'ohonua	'Ohonua
fangale’ounga	Fangale’ounga
fua'amotu	Fua'amotu
ha'ateiho	Ha'ateiho
ha'atu'a	Ha'atu'a
haveluloto	Haveluloto
hihifo	Hihifo
hofoa	Hōfoa
houma	Houma
kolonga	Kolonga
lapaha	Lapaha
leimatu'a	Leimātu'a
mu‘a	Mu‘a
neiafu	Neiafu
nukunuku	Nukunuku
nuku‘alofa	Nuku‘alofa
pangai	Pangai
pea	Pea
popua	Popua
tatakamotonga	Tatakamotonga
tofoa-koloua	Tofoa-Koloua
tokomololo	Tokomololo
vaini	Vainī
veitongo	Veitongo
