1 decembrie	1 Decembrie
baru mic	Baru Mic
barza	Bârza
barza	Barza
barzava	Bârzava
barzesti	Bârzești
basarabi	Basarabi
basca chiojdului	Bâsca Chiojdului
basca rozilei	Bâsca Rozilei
bascenii de jos	Bâscenii de Jos
bascenii de sus	Bâscenii de Sus
bascov	Bascov
bascoveni	Bâscoveni
basesti	Băseşti
bata	Bata
batanii mari	Băţanii Mari
batar	Batăr
batarasti	Batârăşti
batarci	Bătarci
batesti	Bătești
batos	Batoş
batrana	Bătrâna
batrani	Bătrâni
bautar	Băuţar
bazna	Bazna
beba veche	Beba Veche
beceni	Beceni
bechet	Bechet
becicherecu mic	Becicherecu Mic
beciu	Beciu
beclean	Beclean
beica de jos	Beica de Jos
beidaud	Beidaud
beiu	Beiu
beius	Beiuş
belcesti	Belceşti
belciugatele	Belciugatele
beleti	Beleţi
belin	Belin
belin-vale	Belin-Vale
belint	Belinţ
belis	Beliş
beliu	Beliu
beltiug	Beltiug
benesat	Benesat
bengesti	Bengești
berbesti	Berbești
berbesti	Berbeşti
berca	Berca
berceni	Berceni
berchisesti	Berchișești
beregsau mare	Beregsău Mare
bereni	Bereni
beresti	Berești
beresti-bistrita	Bereşti-Bistriţa
beresti-sat	Bereşti-Sat
beresti-tazlau	Bereşti-Tazlău
berevoesti	Berevoeşti
berezeni	Berezeni
berghin	Berghin
berislavesti	Berislăveşti
beriu	Beriu
berlesti	Berleşti
berliste	Berlişte
bertea	Bertea
bertestii de jos	Berteştii de Jos
berveni	Berveni
berzasca	Berzasca
berzovia	Berzovia
berzunti	Berzunţi
bestepe	Beștepe
bethausen	Bethausen
beuca	Beuca
bezdead	Bezdead
beznea	Beznea
bicaz	Bicaz
bicaz-chei	Bicaz-Chei
bicazu ardelean	Bicazu Ardelean
bichigiu	Bichigiu
bichis	Bichiş
biertan	Biertan
biharia	Biharia
biia	Biia
bijghir	Bijghir
bilbor	Bilbor
bilca	Bilca
bilciuresti	Bilciureşti
biled	Biled
biliesti	Biliești
birchis	Birchiş
bircii	Bircii
birda	Birda
bisoca	Bisoca
bistra	Bistra
bistra muresului	Bistra Mureșului
bistret	Bistreț
bistrita	Bistriţa
bistrita	Bistrița
bistrita bargaului	Bistriţa Bârgăului
bivolari	Bivolari
bivolarie	Bivolărie
bixad	Bixad
blagesti	Blăgeşti
blaj	Blaj
blajani	Blăjani
blajel	Blăjel
blajeni	Blăjeni
blandesti	Blândeşti
blandiana	Blândiana
blanzi	Blânzi
blejesti	Blejeşti
blejoi	Blejoi
blidesti	Blideşti
bobalna	Bobâlna
bobicesti	Bobiceşti
boboc	Boboc
bobohalma	Bobohalma
boboiesti	Boboiești
bobolia	Bobolia
bobota	Bobota
bobulesti	Bobulești
bocicoiu mare	Bocicoiu Mare
bocsa	Bocşa
bocsig	Bocsig
bod	Bod
bodesti	Bodeşti
bodesti	Bodești
bodestii de jos	Bodeștii de Jos
