bathsheba	Bathsheba
bridgetown	Bridgetown
checker hall	Checker Hall
crane	Crane
four cross roads	Four Cross Roads
greenland	Greenland
hastings	Hastings
holetown	Holetown
mile and a quarter	Mile and a Quarter
oistins	Oistins
six cross roads	Six Cross Roads
speightstown	Speightstown
welchman hall	Welchman Hall
white hill	White Hill
