bomarsund	Bomarsund
brando	Brändö
eckero	Eckerö
finstrom	Finström
foglo	Föglö
geta	Geta
godby	Godby
hammarland	Hammarland
jomala	Jomala
kokar	Kökar
kumlinge	Kumlinge
lemland	Lemland
lumparland	Lumparland
mariehamn	Mariehamn
saltvik	Saltvik
sottunga	Sottunga
sund	Sund
tjudo	Tjudö
vardo	Vårdö
yomala	Yomala
ytterby	Ytterby
