ailuk	Ailuk
airuk	Airuk
arno	Arno
aur	Aur
dalap-uliga-dorrit	Dalap-Uliga-Dorrit
ebaye	Ebaye
ebon	Ebon
enewetak	Enewetak
jabat	Jabat
jabor	Jabor
kili	Kili
lae	Lae
laura	Laura
lib	Lib
likiep	Likiep
loen	Loen
majuro	Majuro
mejit	Mejit
mili	Mili
namdrik	Namdrik
rongelap	Rongelap
taroa	Taroa
ujae	Ujae
utrik	Utrik
wotho	Wotho
wotje	Wotje
