aixirivall	Aixirivall
andorra la vella	Andorra la Vella
anyos	Anyós
arinsal	Arinsal
canillo	Canillo
el tarter	El Tarter
encamp	Encamp
la massana	la Massana
les bons	Les Bons
les escaldes	les Escaldes
ordino	Ordino
pas de la casa	Pas de la Casa
sant julia de loria	Sant Julià de Lòria
santa coloma	Santa Coloma
vila	Vila
