abo	Abo
aileu	Aileu
ainaro	Ainaro
aissirimou	Aissirimou
atauro	Atauro
atsabe	Atsabe
barique	Barique
baukau	Baukau
bobonaro	Bobonaro
dare	Dare
dili	Dili
fohorem	Fohorem
gleno	Gleno
hatoudo	Hatoudo
irabin de baixo	Irabin de Baixo
lautem	Lautem
lifau	Lifau
likisa	Likisá
lospalos	Lospalos
luro	Luro
maliana	Maliana
manatutu	Manatutu
maubara	Maubara
metinaro	Metinaro
pante makasar	Pante Makasar
same	Same
suai	Suai
tilomar	Tilomar
tutuala	Tutuala
venilale	Venilale
viqueque	Viqueque
