aheloy	Aheloy
tryavna	Tryavna
tsar kaloyan	Tsar Kaloyan
tsarevo	Tsarevo
tsenovo	Tsenovo
tutrakan	Tutrakan
tvarditsa	Tvarditsa
ugarchin	Ugarchin
valchedram	Valchedram
valchidol	Valchidol
varbitsa	Varbitsa
varna	Varna
varshets	Varshets
veliki preslav	Veliki Preslav
veliko turnovo	Veliko Tŭrnovo
velingrad	Velingrad
venets	Venets
vetovo	Vetovo
vetrino	Vetrino
vidin	Vidin
vratsa	Vratsa
yablanitsa	Yablanitsa
yakimovo	Yakimovo
yakoruda	Yakoruda
yambol	Yambol
zavet	Zavet
zelenikovo	Zelenikovo
zemen	Zemen
zlataritsa	Zlataritsa
zlatitsa	Zlatitsa
zlatni pyasatsi	Zlatni Pyasatsi
zlatograd	Zlatograd
