airolaf	Airolaf
alaili dadda‘	Alaïli Ḏaḏḏa‘
ali sabih	Ali Sabih
arta	Arta
balbala	Balbala
damerdjog	Damêrdjôg
dasbiyo	Dasbiyo
dikhil	Dikhil
djibouti	Djibouti
dorra	Dorra
egahlou	Egahlou
galafi	Gâlâfi
goubetto	Goubétto
holhol	Holhol
khor angar	Khôr Angar
kouta bouyya	Koûta Boûyya
loyada	Loyada
medeho	Médého
obock	Obock
oue‘a	Ouê‘a
randa	Randa
tadjoura	Tadjoura
waddi	Waddi
yoboki	Yoboki
‘ali ‘adde	‘Ali ‘Addé
‘as ‘ela	‘As ‘Êla
