berekua	Berekua
calibishie	Calibishie
castle bruce	Castle Bruce
colihaut	Colihaut
la plaine	La Plaine
mahaut	Mahaut
marigot	Marigot
massacre	Massacre
pointe michel	Pointe Michel
pont casse	Pont Cassé
portsmouth	Portsmouth
rosalie	Rosalie
roseau	Roseau
saint joseph	Saint Joseph
salisbury	Salisbury
soufriere	Soufrière
wesley	Wesley
woodford hill	Woodford Hill
