ajdovscina	Ajdovščina
sv. trojica v slov. goricah	Sv. Trojica v Slov. Goricah
sveti anton	Sveti Anton
sveti duh	Sveti Duh
sveti jurij	Sveti Jurij
sveti tomaz	Sveti Tomaž
tabor	Tabor
tisina	Tišina
tolmin	Tolmin
topolsica	Topolšica
trbovlje	Trbovlje
trebnje	Trebnje
trnovlje pri celju	Trnovlje pri Celju
trnovska vas	Trnovska Vas
trzic	Tržič
trzin	Trzin
turnisce	Turnišče
velenje	Velenje
velika polana	Velika Polana
velike lasce	Velike Lašče
verd	Verd
verzej	Veržej
videm	Videm
videm pri ptuju	Videm pri Ptuju
vipava	Vipava
vir	Vir
vitanje	Vitanje
vitomarci	Vitomarci
vnanje gorice	Vnanje Gorice
vodice	Vodice
vojnik	Vojnik
vransko	Vransko
vrhnika	Vrhnika
vrtojba	Vrtojba
vuzenica	Vuzenica
zabukovica	Zabukovica
zagorje ob savi	Zagorje ob Savi
zalec	Žalec
zasip	Zasip
zavrc	Zavrč
zelezniki	Železniki
zetale	Žetale
zgornja hajdina	Zgornja Hajdina
zgornja kungota	Zgornja Kungota
zgornja polskava	Zgornja Polskava
zgornje bitnje	Zgornje Bitnje
zgornje gorje	Zgornje Gorje
zgornje jezersko	Zgornje Jezersko
zgornje pirnice	Zgornje Pirniče
zgornji duplek	Zgornji Duplek
ziri	Žiri
zrece	Zreče
zuzemberk	Žužemberk
