aweil	Aweil
bentiu	Bentiu
bor	Bor
gogrial	Gogrial
juba	Juba
kafia kingi	Kafia Kingi
kapoeta	Kapoeta
kodok	Kodok
kuacjok	Kuacjok
leer	Leer
malakal	Malakal
maridi	Maridi
pajok	Pajok
raja	Raja
rumbek	Rumbek
tambura	Tambura
tonj	Tonj
torit	Torit
wau	Wau
winejok	Winejok
yambio	Yambio
yei	Yei
yirol	Yirol
