dardagny	Dardagny
darligen	Därligen
dattwil	Dättwil
davos	Davos
degersheim	Degersheim
deitingen	Deitingen
delemont	Delémont
densburen	Densbüren
derendingen	Derendingen
diegten	Diegten
dielsdorf	Dielsdorf
diemtigen	Diemtigen
diepoldsau	Diepoldsau
diessenhofen	Diessenhofen
dietikon	Dietikon
dietikon / almend	Dietikon / Almend
dietikon / guggenbuhl	Dietikon / Guggenbühl
dietikon / hofacker	Dietikon / Hofacker
dietikon / kreuzacker	Dietikon / Kreuzacker
dietikon / oberdorf	Dietikon / Oberdorf
dietikon / schonenwerd	Dietikon / Schönenwerd
dietikon / vorstadt	Dietikon / Vorstadt
dietlikon / dietlikon (dorf)	Dietlikon / Dietlikon (Dorf)
dietlikon / eichwiesen	Dietlikon / Eichwiesen
disentis	Disentis
domat	Domat
dombresson	Dombresson
domdidier	Domdidier
donat	Donat
dorf	Dorf
dornach	Dornach
dottikon	Dottikon
dubendorf	Dübendorf
dubendorf / kunklerstrasse	Dübendorf / Kunklerstrasse
dubendorf / sonnenberg	Dübendorf / Sonnenberg
dubendorf / vogelquartier	Dübendorf / Vogelquartier
dubendorf / wasserfurren	Dübendorf / Wasserfurren
dudingen	Düdingen
durnten	Dürnten
durrenasch	Dürrenäsch
durrenroth	Dürrenroth
ebikon	Ebikon
ebmatingen	Ebmatingen
ebnat-kappel	Ebnat-Kappel
echallens	Echallens
ecublens	Ecublens
effretikon	Effretikon
effretikon / rappenhalde-bannhalde	Effretikon / Rappenhalde-Bannhalde
effretikon / rikon	Effretikon / Rikon
effretikon / watt	Effretikon / Watt
egerkingen	Egerkingen
egg	Egg
eggersriet	Eggersriet
eggiwil	Eggiwil
egliswil	Egliswil
egnach	Egnach
ehrendingen	Ehrendingen
eich	Eich
eichberg	Eichberg
eiken	Eiken
einsiedeln	Einsiedeln
elgg	Elgg
elgg / stadtchen und umgebung	Elgg / Städtchen und Umgebung
elsau-raterschen	Elsau-Räterschen
elsau-raterschen / raterschen	Elsau-Räterschen / Räterschen
embrach	Embrach
embrach / embrach (dorfkern)	Embrach / Embrach (Dorfkern)
embrach / kellersacker	Embrach / Kellersacker
emmen	Emmen
emmetten	Emmetten
endingen	Endingen
engelberg	Engelberg
ennenda	Ennenda
ennetburgen	Ennetbürgen
entlebuch	Entlebuch
epalinges	Epalinges
ependes	Ependes
eriswil	Eriswil
erlach	Erlach
erlen	Erlen
erlenbach	Erlenbach
erlenbach / links des dorfbachs oberhalb bahnlinie	Erlenbach / links des Dorfbachs oberhalb Bahnlinie
erlenbach / rechts des dorfbachs oberhalb bahnlinie	Erlenbach / rechts des Dorfbachs oberhalb Bahnlinie
erlenbach im simmental	Erlenbach im Simmental
erlinsbach	Erlinsbach
ermatingen	Ermatingen
ersigen	Ersigen
erstfeld	Erstfeld
eschenbach	Eschenbach
eschenz	Eschenz
eschlikon	Eschlikon
escholzmatt	Escholzmatt
esslingen	Esslingen
estavayer-le-lac	Estavayer-le-Lac
ettingen	Ettingen
ettiswil	Ettiswil
evilard	Evilard
evionnaz	Evionnaz
evolene	Evolène
faido	Faido
fallanden	Fällanden
fehraltorf	Fehraltorf
feldmeilen	Feldmeilen
felsberg	Felsberg
ferenbalm	Ferenbalm
ferreyres	Ferreyres
feuerthalen	Feuerthalen
feusisberg	Feusisberg
fiesch	Fiesch
fischingen	Fischingen
flamatt	Flamatt
flawil	Flawil
fleurier	Fleurier
flims	Flims
fluelen	Flüelen
fluhli	Flühli
flums	Flums
flurlingen	Flurlingen
fontainemelon	Fontainemelon
fontenais	Fontenais
founex	Founex
fraubrunnen	Fraubrunnen
frauenfeld	Frauenfeld
frauenkappelen	Frauenkappelen
freienbach	Freienbach
freienstein	Freienstein
frenkendorf	Frenkendorf
fribourg	Fribourg
frick	Frick
froideville	Froideville
frutigen	Frutigen
fulenbach	Fulenbach
fullinsdorf	Füllinsdorf
fully	Fully
gachnang	Gachnang
gais	Gais
gampel	Gampel
gams	Gams
gansingen	Gansingen
ganterschwil	Ganterschwil
gattikon	Gattikon
gebenstorf	Gebenstorf
gelterkinden	Gelterkinden
geneva	Geneva
genolier	Genolier
gerlafingen	Gerlafingen
geroldswil	Geroldswil
gersau	Gersau
geuensee	Geuensee
giffers	Giffers
gimel	Gimel
gipf-oberfrick	Gipf-Oberfrick
giswil	Giswil
giubiasco	Giubiasco
givisiez	Givisiez
gland	Gland
glarus	Glarus
glattbrugg	Glattbrugg
glattbrugg / rohr/platten-balsberg	Glattbrugg / Rohr/Platten-Balsberg
glattbrugg / wydacker/bettacker/lattenwiesen	Glattbrugg / Wydacker/Bettacker/Lättenwiesen
glattfelden	Glattfelden
glovelier	Glovelier
gockhausen	Gockhausen
goldach	Goldach
goldau	Goldau
goldingen	Goldingen
gommiswald	Gommiswald
gonten	Gonten
gontenschwil	Gontenschwil
gordola	Gordola
gorgier	Gorgier
gossau	Gossau
gottlieben	Gottlieben
grabs	Grabs
grachen	Grächen
grancy	Grancy
grand-savagnier	Grand-Savagnier
grandson	Grandson
granichen	Gränichen
gravesano	Gravesano
greifensee	Greifensee
greifensee / mullerwis / seilerwis	Greifensee / Müllerwis / Seilerwis
greifensee / pfisterholzli	Greifensee / Pfisterhölzli
grellingen	Grellingen
grenchen	Grenchen
grimisuat	Grimisuat
grindelwald	Grindelwald
grolley	Grolley
grone	Grône
grossacker/opfikon	Grossacker/Opfikon
grossaffoltern	Grossaffoltern
grosswangen	Grosswangen
grusch	Grüsch
grut	Grüt
gruyeres	Gruyères
gryon	Gryon
gstaad	Gstaad
guggisberg	Guggisberg
gunzgen	Gunzgen
gunzwil	Gunzwil
gutenswil	Gutenswil
guttingen	Güttingen
haag (rheintal)	Haag (Rheintal)
hadlikon	Hadlikon
hagendorf	Hägendorf
haggenschwil	Häggenschwil
hagglingen	Hägglingen
hallau	Hallau
hasle	Hasle
haslen	Haslen
hausen	Hausen
hausen am albis / hausen (dorf)	Hausen am Albis / Hausen (Dorf)
hedingen	Hedingen
hegnau	Hegnau
hegnau / dammboden-grindel	Hegnau / Dammboden-Grindel
hegnau / sunnebuel-eich	Hegnau / Sunnebüel-Eich
heiden	Heiden
heimberg	Heimberg
heimiswil	Heimiswil
heitenried	Heitenried
henggart	Henggart
heremence	Hérémence
hergiswil	Hergiswil
herisau	Herisau
hermiswil	Hermiswil
herrliberg	Herrliberg
herzogenbuchsee	Herzogenbuchsee
hettlingen	Hettlingen
hildisrieden	Hildisrieden
hilterfingen	Hilterfingen
himmelried	Himmelried
hindelbank	Hindelbank
hinteregg	Hinteregg
hinterrhein	Hinterrhein
hinwil	Hinwil
hittnau / hittnau (dorf)	Hittnau / Hittnau (Dorf)
hitzkirch	Hitzkirch
hochdorf	Hochdorf
hochfelden	Hochfelden
hochwald	Hochwald
hofstetten	Hofstetten
hohenrain	Hohenrain
hohentannen	Hohentannen
holstein	Hölstein
hombrechtikon	Hombrechtikon
homburg	Homburg
horgen	Horgen
horgen / allmend	Horgen / Allmend
horgen / horgen (dorfkern)	Horgen / Horgen (Dorfkern)
horgen / oberdorf	Horgen / Oberdorf
horgen / scheller-stockerstrasse	Horgen / Scheller-Stockerstrasse
hori	Höri
horn	Horn
horw	Horw
hunenberg	Hünenberg
huttwil	Huttwil
huttwilen	Hüttwilen
ibach	Ibach
igis	Igis
ilanz	Ilanz
illnau	Illnau
illnau / unter-illnau	Illnau / Unter-Illnau
ingenbohl	Ingenbohl
ins	Ins
interlaken	Interlaken
inwil	Inwil
itingen	Itingen
ittigen	Ittigen
jegenstorf	Jegenstorf
jenaz	Jenaz
jona	Jona
jonen	Jonen
jongny	Jongny
jonschwil	Jonschwil
jussy	Jussy
kaiseraugst	Kaiseraugst
kaisten	Kaisten
kallnach	Kallnach
kaltbrunn	Kaltbrunn
kandersteg	Kandersteg
kanerkinden	Känerkinden
kappelen	Kappelen
kehrsatz	Kehrsatz
kerns	Kerns
kerzers	Kerzers
kilchberg	Kilchberg
kilchberg / bachler-stocken	Kilchberg / Bächler-Stocken
kilchberg / kilchberg (dorfkern)	Kilchberg / Kilchberg (Dorfkern)
killwangen	Killwangen
kindhausen / kindhausen (dorf)	Kindhausen / Kindhausen (Dorf)
kirchberg	Kirchberg
kirchleerau	Kirchleerau
kirchlindach	Kirchlindach
kleinandelfingen	Kleinandelfingen
kleinbosingen	Kleinbösingen
