bhunya	Bhunya
big bend	Big Bend
bulembu	Bulembu
darkton	Darkton
ezulwini	Ezulwini
hlathikhulu	Hlathikhulu
hluti	Hluti
kubuta	Kubuta
kwaluseni	Kwaluseni
lavumisa	Lavumisa
lobamba	Lobamba
malkerns	Malkerns
manzini	Manzini
mbabane	Mbabane
mhlambanyatsi	Mhlambanyatsi
mhlume	Mhlume
nhlangano	Nhlangano
nsoko	Nsoko
ntfonjeni	Ntfonjeni
piggs peak	Piggs Peak
sidvokodvo	Sidvokodvo
siteki	Siteki
thunzini	Thunzini
vuvulane	Vuvulane
