auki	Auki
buala	Buala
gizo	Gizo
honiara	Honiara
kirakira	Kirakira
kola'a	Kola'a
kukum	Kukum
lata	Lata
malango	Malango
mataniko	Mataniko
mbumburu	Mbumburu
munda	Munda
nggosi	Nggosi
noro	Noro
panatina	Panatina
rove - lengakiki	Rove - Lengakiki
tandai	Tandai
taro	Taro
tulagi	Tulagi
vavaea	Vavaea
vuhokesa	Vuhokesa
vura	Vura
