a dun	A Dun
ma ngay su	Ma Ngay Su
ma se zeik	Ma Se Zeik
ma wun	Ma Wun
ma yan	Ma Yan
ma yan chaung	Ma Yan Chaung
madaya	Madaya
magway	Magway
mahlwagon	Mahlwagon
man ga leik	Man Ga leik
man wein	Man Wein
manaung	Manaung
mandalay	Mandalay
martaban	Martaban
maubin	Maubin
mawlaik	Mawlaik
mawlamyine	Mawlamyine
mawlamyinegyunn	Mawlamyinegyunn
me pa li	Me Pa Li
me taw	Me Taw
mee pya	Mee Pya
meiktila	Meiktila
mikenaungea	Mikenaungea
min ga lar don zay	Min Ga Lar Don Zay
min ga lun	Min Ga Lun
min ga lun kya khat kone lay	Min Ga Lun Kya Khat Kone Lay
min kone	Min Kone
min yan aung	Min Yan Aung
minbu	Minbu
mingala tangnyunt	Mingala Tangnyunt
mingaladon	Mingaladon
minsin	Minsin
mogaung	Mogaung
mogok	Mogok
mohnyin	Mohnyin
moke soe nyaung pin	Moke Soe Nyaung Pin
mong la	Möng La
mong pawk	Möng Pawk
mong yang	Möng Yang
mong yawng	Möng Yawng
monywa	Monywa
mrauk u	Mrauk U
mu-se	Mu-se
mudon	Mudon
mya kaing	Mya Kaing
myanaung	Myanaung
myauk chaung	Myauk Chaung
myaungmya	Myaungmya
myawaddy	Myawaddy
myaydo	Myaydo
myeik	Myeik
myenigon	Myenigon
myingyan	Myingyan
myitkyina	Myitkyina
myo thit ga	Myo Thit Ga
myo thit ka	Myo Thit Ka
na ywe chaung	Na Ywe Chaung
namhkam	Namhkam
nan ti	Nan Ti
nansang	Nansang
nant hpar	Nant Hpar
nant thar kone	Nant Thar Kone
nanyun	Nanyun
nat sin kone	Nat Sin Kone
nat yae twin	Nat Yae Twin
nattalin	Nattalin
nay pyi taw	Nay Pyi Taw
ne byaw	Ne Byaw
ne tha mein	Ne Tha Mein
ngapali	Ngapali
ngar bat gyi	Ngar Bat Gyi
ngazutaung	Ngazutaung
no (1) ward	No (1) Ward
nwe khway	Nwe Khway
nyaung	Nyaung
nyaung chaung	Nyaung Chaung
nyaung gon	Nyaung Gon
nyaung ngoke to	Nyaung Ngoke To
nyaung ngu	Nyaung Ngu
nyaung pin	Nyaung Pin
nyaung pin thar	Nyaung Pin Thar
nyaung waing	Nyaung Waing
nyaung-u	Nyaung-U
nyaungdon	Nyaungdon
nyaunglebin	Nyaunglebin
nyaungshwe	Nyaungshwe
ohn hne kone	Ohn Hne Kone
oke kan	Oke Kan
okpo	Okpo
pa du mone	Pa Du Mone
pa kauk	Pa Kauk
pa thi	Pa Thi
pakokku	Pakokku
pan set	Pan Set
pan taw	Pan Taw
pangkham	Pangkham
panglong	Panglong
papun	Papun
par da gyi	Par Da Gyi
pathein	Pathein
pauk kone	Pauk Kone
pauk taw	Pauk Taw
pauktaw	Pauktaw
paung	Paung
paungde	Paungde
paw maing	Paw Maing
pawgan	Pawgan
payathonzu	Payathonzu
pazundaung	Pazundaung
peik swei	Peik Swei
pein hne kone	Pein Hne Kone
peinnegon	Peinnegon
pekon	Pèkon
pi la khat	Pi La Khat
pok pa	Pok Pa
pokthinnyo	Pokthinnyo
pu law kone	Pu Law Kone
pulei	Pulei
putao	Putao
pya tha taik	Pya Tha Taik
pyan lel nay yar cha htar ye	Pyan Lel Nay Yar Cha Htar Ye
pyapon	Pyapon
pyawbwe	Pyawbwe
pyawbwe gyi	Pyawbwe Gyi
pyawbwe lay	Pyawbwe Lay
pyay	Pyay
pyi taw thar	Pyi Taw Thar
pyin ka do	Pyin Ka Do
pyin ma pin	Pyin Ma Pin
pyin oo lwin	Pyin Oo Lwin
pyinmana	Pyinmana
pyu	Pyu
rakhine chaung north	Rakhine Chaung North
rakhine chaung south	Rakhine Chaung South
sa bagan	Sa Bagan
sa khan gyi	Sa Khan Gyi
sagaing	Sagaing
saing di kone	Saing Di Kone
san	San
san chaung	San Chaung
san gyi wa	San Gyi Wa
san kauk	San Kauk
san kin gyi	San Kin Gyi
sane	Sane
sangyoung	Sangyoung
sar bu taung	Sar Bu Taung
sar hpyu su	Sar Hpyu Su
sar ta lin	Sar Ta Lin
sar taing hmut	Sar Taing Hmut
saw bwar gyi kone	Saw Bwar Gyi Kone
seik gyi	Seik Gyi
seikgyi	Seikgyi
seinnan	Seinnan
set ka lay	Set Ka Lay
setsan	Setsan
sha bwa	Sha Bwa
shan chaung	Shan Chaung
shan te gyi upper	Shan Te Gyi Upper
shwe hlay chaung pa	Shwe Hlay Chaung Pa
shwe hle gyaung	Shwe Hle Gyaung
shwe kokko	Shwe Kokko
shwe lin ban	Shwe Lin Ban
shwe pyauk	Shwe Pyauk
shwebo	Shwebo
shwegu	Shwegu
shwegyin	Shwegyin
shwenatha	Shwenatha
si in	Si In
sin thay	Sin Thay
sinngu	Sinngu
sinpon	Sinpon
sitpin	Sitpin
sittwe	Sittwe
ta dar chaung	Ta Dar Chaung
ta dar u	Ta Dar U
ta ge hle	Ta Ge Hle
ta gu pon	Ta Gu Pon
ta gun daing	Ta Gun Daing
ta hlaing hmi	Ta Hlaing Hmi
ta lok taw	Ta Lok Taw
ta loke htaw	Ta Loke Htaw
ta man gyi ta khun taing	Ta Man Gyi Ta Khun Taing
ta mar ta kaw ah htet	Ta Mar Ta Kaw Ah Htet
tachilek	Tachilek
tagondaing	Tagondaing
taik gyi	Taik Gyi
taik tee	Taik Tee
taikkyi	Taikkyi
tamoowoug	Tamoowoug
