qal‘ah-ye shahi	Qal‘ah-ye Shāhī
qal‘ah-ye shahr	Qal‘ah-ye Shahr
qarah bagh	Qarah Bāgh
qarah bagh bazar	Qarah Bāgh Bāzār
qaram qol	Qaram Qōl
qaranghu toghai	Qaranghū Tōghaī
qarawul	Qarāwul
qarchi gak	Qarchī Gak
qarghah’i	Qarghah’ī
qarqin	Qarqīn
qashqal	Qāshqāl
quchanghi	Quchanghī
qurghan	Qurghān
rabat-e sangi-ye pa’in	Rabāţ-e Sangī-ye Pā’īn
ramak	Rāmak
razay balochi	Rāẕay Balochi
ru-ye sang	Rū-ye Sang
rudbar	Rūdbār
rustaq	Rustāq
salam khel	Salām Khēl
sang atesh	Sang Atesh
sang-e charak	Sang-e Chārak
sang-e mashah	Sang-e Māshah
sangar saray	Sangar Sarāy
sangin	Sangīn
sar chakan	Sar Chakān
sar kani	Sar Kāṉī
sar-e pul	Sar-e Pul
sar-e tayghan	Sar-e Tayghān
sarfiraz kala	Sarfirāz Kalā
sarobi	Sarōbī
sayad	Şayād
sayagaz	Sāyagaz
shahr-e safa	Shahr-e Şafā
shahrak	Shahrak
shahran	Shahrān
sharan	Sharan
shaykh amir kelay	Shaykh Amīr Kêlay
sherwani-ye bala	Shērwānī-ye Bālā
shewah	S̲h̲ēwah
shibirghan	Shibirghān
shindand	Shīnḏanḏ
shwak	Shwāk
sidqabad	Sidqābād
siyahgird	Siyāhgird
sozmah qal‘ah	Sōzmah Qal‘ah
sperah	Spērah
spin boldak	Spīn Bōldak
ster giyan	Stêr Giyān
sultanpur-e ‘ulya	Sulţānpūr-e ‘Ulyā
surkh bilandi	Surkh Bilandī
tagab	Tagāb
tagaw-bay	Tagāw-Bāy
taloqan	Taloqan
taqchah khanah	Ţāqchah Khānah
tarinkot	Tarinkot
taywarah	Taywarah
tir pul	Tīr Pul
titan	Tītān
tormay	Tōrmay
tsamkani	Tsamkanī
tsaperai	Tsapêraī
tsowkey	Tsowkêy
tukzar	Tukzār
tulak	Tūlak
urgun	Urgun
uruzgan	Uruzgān
washer	Wāshēr
wuleswali bihsud	Wulêswālī Bihsūd
wuleswali sayyid karam	Wulêswālī Sayyid Karam
wuluswali ‘alingar	Wuluswālī ‘Alīngār
wutahpur	Wuṯahpūr
yahya khel	Yaḩyá Khēl
yangi qal‘ah	Yangī Qal‘ah
zamto kelay	Zamtō Kêlay
zarah sharan	Zaṟah Sharan
zaranj	Zaranj
zargaran	Zargarān
zarghun shahr	Zarghūn Shahr
zaybak	Zaybāk
ziarat-e shah maqsud	Zīārat-e Shāh Maqşūd
zindah jan	Zindah Jān
ziraki	Zīrakī
